region_code,share_count,hashtag_names,like_count,username,video_description,view_count,comment_count,id
US,15,"['dyslexia', 'readingteacher', 'onlinetutor', 'readingtutor', 'strugglingreader']",177,yourdyslexiacoach,Replying to @mrsgdonut dyslexia can 100% be identified and diagnosed by schools. #dyslexia #readingtutor #readingteacher #onlinetutor  #strugglingreader ,4870,29,7227607101319826731
US,17,"['dyslexia', 'readingteacher', 'phonemes', 'onlinetutor', 'strugglingreader']",155,yourdyslexiacoach,Replying to @user299312787 many teachers use this vocabulary as young as kindergarten.#phonemes #dyslexia #readingteacher #onlinetutor  #strugglingreader ,8876,3,7227601960474627371
US,0,"['question', 'homeschool', 'dyslexia', 'learntoread', 'readingtips', 'preschoolmom', 'teachingreading', 'homeschoolreading']",14,homeschooling4him,#question from @homeschooling4him  What is the hardest part about #teachingreading in your #homeschool ? #preschoolmom #learntoread #readingtips #dyslexia #homeschoolreading ,226,4,7227593993490582830
US,0,"['dyslexia', 'dsmp', 'tubbolive', 'ranboolive', 'ranbooandtubbo']",108,antiqueturtle,"It be kicking in at the worst moments, y'all #tubbolive #dyslexia #dsmp #ranboolive #ranbooandtubbo ",517,0,7227548932711271726
US,1,"['fyp', 'dyslexia']",6,just_a_short_trans_man,dumbass dyslexic lol#fyp #dyslexia ,261,0,7227543544930569514
US,11,"['dyslexia', 'readingteacher', 'onlinetutor', 'readingtutor', 'strugglingreader']",117,yourdyslexiacoach,"Sooo often, kids struggle simple because they arent being taught correctly. Orton Gillingham programs (there are many) emphasize sustematic, explicit phonics to start reading and move on to teaching syllable types so kids can decode any word #dyslexia #readingtutor #readingteacher #onlinetutor  #strugglingreader ",5267,18,7227541716159532334
US,22,"['trending', 'elementary', 'adhd', 'momlife', 'fyp', 'elementaryschool', 'dyslexia', 'dyslexiaawareness', 'momsoftiktok', 'adhdtiktok']",82,hadleebreedaines,Signs of dyslexia that I experienced with my little girl part 2 ❤️ #fyp #momsoftiktok #momlife #dyslexia #elementaryschool #elementary #trending #dyslexiaawareness #adhd #adhdtiktok ,3785,4,7227535712512445738
US,0,"['dyslexic', 'dyslexia']",80,lemon_lemonboy,….. #dyslexia #dyslexic ,594,13,7227533843161451819
US,258,"['dyslexia', 'specialeducation', 'readingproblems', 'homeschooltips']",1243,aprilmcmurtrey,Leave me your questions and I’ll do my best to answer them! #dyslexia  #readingproblems #specialeducation #homeschooltips ,34492,182,7227514145648774442
US,1,"['adhd', 'autism', 'dyslexia', 'hypnotherapy', 'psychologyfacts', 'terapiaenespañol']",17,kardashbusybeetherapylab,Exclusive Therapy only  👉🏽 https://poplme.co/hash/JLf09XuE/1/share#hypnotherapy #psychologyfacts #terapiaenespañol #autism #adhd #dyslexia ,763,1,7227507885297634603
US,2,"['funny', 'jokes', 'addiction', 'adhd', 'stutter', 'asexual', 'dyslexia', 'dyscalculia', 'dysgraphia', 'comedy']",45,juanjohndinero,I got 99 problems  #adhd #dyslexia #dysgraphia #dyscalculia #addiction #stutter #asexual #funny #jokes #comedy ,267,0,7227505038300859694
US,2,"['dyslexia', 'discalculia', 'dypraxia', 'learningspecialist']",244,desmondfambrini,Replying to @cad.nce #dyslexia #dypraxia and #discalculia oh my 😱😂💕🙈 #learningspecialist 💕💕,3616,12,7227491501700320554
US,2,"['specialed', 'teacher', 'duet', 'autism', 'ada', 'autismawareness', 'specialneeds', 'slp', 'civilrights', 'dyslexia', 'readingteacher', 'ocr', 'specialeducation', 'iep', 'cerbalpalsy', 'visionimpaired', 'speechtherapy', '504', 'earlychildhoodeducation', 'teachersoftiktok', 'teacherontiktok', 'specialneedsparenting', 'adhdmoms', 'abatherapy', 'dyslexiasquad', 'accommodations', 'specialeducationteacher', 'readingteachersrock', 'readingfluency', 'bcbasoftiktok', 'trackingdata', 'dyslexiamyths', 'lssp', 'teacher2022', 'specialeducationacademy']",71,specialeducationboss,#duet with @angelwebbrealtor #specialeducation #adhdmoms #specialeducationacademy #IEP #abatherapy #bcbasoftiktok #slp #lssp #readingteacher #readingteachersrock #specialeducationteacher #autism #speechtherapy #visionimpaired #cerbalpalsy #teacher #autismawareness #teachersoftiktok #teacherontiktok #earlychildhoodeducation #dyslexia #teacher2022 #dyslexiasquad #dyslexiamyths #ADA  #OCR #504 #civilrights #accommodations #trackingdata #readingfluency #specialed #specialneeds #specialneedsparenting,2027,3,7227297597789130026
US,1,"['specialed', 'teacher', 'autism', 'ada', 'autismawareness', 'specialneeds', 'slp', 'civilrights', 'dyslexia', 'readingteacher', 'ocr', 'specialeducation', 'iep', 'smallbusiness', 'cerbalpalsy', 'visionimpaired', 'speechtherapy', '504', 'earlychildhoodeducation', 'teachersoftiktok', 'teacherontiktok', 'specialneedsparenting', 'adhdmoms', 'abatherapy', 'dyslexiasquad', 'accommodations', 'specialeducationteacher', 'readingteachersrock', 'readingfluency', 'bcbasoftiktok', 'trackingdata', 'dyslexiamyths', 'lssp', 'teacher2022', 'specialeducationacademy']",97,specialeducationboss,#specialeducation #adhdmoms #specialeducationacademy #IEP #abatherapy #bcbasoftiktok #slp #lssp #readingteacher #readingteachersrock #specialeducationteacher #autism #speechtherapy #visionimpaired #cerbalpalsy #teacher #autismawareness #teachersoftiktok #teacherontiktok #earlychildhoodeducation #dyslexia #teacher2022 #dyslexiasquad #dyslexiamyths #ADA  #OCR #504 #civilrights #accommodations #trackingdata #readingfluency #specialed #specialneeds #specialneedsparenting #smallbusiness ,2001,12,7227296428488477994
US,0,"['angel', 'guardianangel', 'whatdotheymean', 'dyslexia', 'whynumbers', 'sendmeasign', 'scp343', 'thenumbersmason', 'guidingspirit', 'scp184767']",7,scp184767,"why numbers thou you know I'm dyslexic 343, sigh, avocados....thanks.....#scp184767 #sendmeasign #guidingspirit #angel #guardianangel #dyslexia #whynumbers #thenumbersmason #whatdotheymean #scp343 ",267,0,7227290723018788142
US,35,"['adhd', 'dyslexia', 'mentalhealthmatters', 'dyscalculia', 'neurodivergent', 'traumareaponse']",508,contemplatingwithcoffee,#mentalhealthmatters #neurodivergent #adhd #dyslexia #dyscalculia #traumareaponse ,4918,9,7227263820811750702
US,1,"['love', 'ocd', 'parenting', 'anxiety', 'adhd', 'downsyndrome', 'autism', 'asd', 'mentalhealth', 'autismawareness', 'specialneeds', 'brideandgroom', 'ptsd', 'weddingpictures', 'dyslexia', 'weddingmoments', 'mentalhealthawareness', 'adhdproblems', 'weddingideas', 'aspergers', 'adhdlife', 'adhdawareness', 'weddingphotos', 'weddingphoto', 'neurodivergent', 'adhdbrain', 'weddingphotoshoot', 'weddingphotographer', 'adhdsupport', 'adhdmom', 'weddingphotograph', 'adhdparenting', 'depression', 'add', 'adhdisreal', 'adultadhd', 'neurodiversity', 'adhdmemes', 'adhdwomen', 'weddingphotographyinspiration']",34,theearthylama,taco bell for life! #adhd #autism #mentalhealth #anxiety #adhdawareness #asd #add #adhdproblems #depression #autismawareness #adhdlife #mentalhealthawareness #neurodiversity #specialneeds #adhdsupport #dyslexia #adhdparenting #adhdbrain #neurodivergent #parenting #adhdmemes #ptsd #adhdwomen #adhdisreal #downsyndrome #aspergers #ocd #love #adultadhd #adhdmom#weddingphotographyinspiration #weddingpictures #weddingideas #weddingphotograph #weddingphotoshoot #weddingmoments #brideandgroom #weddingphotos #weddingphoto #weddingphotographer ,2290,0,7227248601444011307
US,97,"['stem', 'dizziness', 'motionsickness', 'dyslexia', 'eyetracking', 'vestibularsystem', 'mororeflex', 'toniclabyrithinereflex']",376,drjoshmadsen,Three Things That Cause MOTION SICKNESS #motionsickness #dyslexia #eyetracking #vestibularsystem #mororeflex #toniclabyrithinereflex #dizziness #stem ,31012,16,7227231607311191342
