comment_count,region_code,video_description,hashtag_names,id,like_count,share_count,username,view_count
0,US,Workout Wednesday!  Try and move your body 3-4 times a week for at least 30-60 minutes!  #fyp #foryou #workout #exercise #missspiritoffasching #hearthealth #workoutwednesday ,"['workout', 'exercise', 'foryou', 'fyp', 'workoutwednesday', 'hearthealth', 'missspiritoffasching']",7397940930915044654,10,0,hannahreeder_mao,703
14,US,#rawscience#Healthy#Gummies#Bonessupport#Hearthealth#Metabolism#Fypppppp#dietarysupplement,"['healthy', 'gummies', 'metabolism', 'hearthealth', 'dietarysupplement', 'fypppppp', 'rawscience', 'bonessupport']",7397936932761701675,65,1,muvvaany,529
0,US,How we finished last week in July. #GodFirst #getinshape #lifechanging #personalgoals #norightstomusic #lifttolive #hearthealth #walk #prayforourcountry ,"['walk', 'godfirst', 'lifechanging', 'getinshape', 'prayforourcountry', 'personalgoals', 'hearthealth', 'norightstomusic', 'lifttolive']",7397930837670481182,6,0,richardrivas7490,210
1,US,"Today was a hard day on the hospital floors. Lots of death and disease. I say this with love Seutis: Do what you can to control your health destiny. 🫀 You can book a consult with a future medical doctor and fitness advocate by clicking the link in my bio. ✨✨✨ I’m here to help you navigate the complex medical system, and take control of what you can.  Love you Seutis ✨🥦 #heartdisease #cardiology #medicine #progressiveoverload ","['medicine', 'heartdisease', 'cardiology', 'progressiveoverload']",7397927269852843295,4,0,seuticals,17
0,US,"He called me everyday until the #heartdisease #oxygendeprivation #induced #dimentia like #brainfog and #depression #kickedin … #toadthewetsprocket #iwillnottakethesethingsforgranted #mycowboyinthemountains #fatherdaughter #olympics … This year I hit 10,000 days clean from crystal and 1200 days from morphinnee. #weightlifting with #dad in #heaven #genx ","['heaven', 'dad', 'weightlifting', 'fatherdaughter', 'genx', 'olympics', 'toadthewetsprocket', 'heartdisease', 'dimentia', 'kickedin', 'brainfog', 'induced', 'depression', 'oxygendeprivation', 'iwillnottakethesethingsforgranted', 'mycowboyinthemountains']",7397927181696945450,24,0,heatherg22378,255
0,US,"Heart disease is a leading health concern, and recognizing the symptoms early can make all the difference. At A.L. Gordon Care Group, we've created a comprehensive guide to help you spot the signs of heart disease in your loved ones. Early detection can lead to better outcomes and a higher quality of life. Stay informed and proactive about heart health. Follow us for more health tips and caregiving advice.♥️ If you have any questions or need assistance, call us at 678-730-0750 or email us at info@algordoncaregroup.com. #HomeCarelnGeorgia #ExpertCarelnGeorgia #HeartHealth #ALGCareGroup #CaregivingTips #HealthyLiving #HeartDiseaseAwareness","['healthyliving', 'hearthealth', 'heartdiseaseawareness', 'caregivingtips', 'homecarelngeorgia', 'algcaregroup', 'expertcarelngeorgia']",7397924340542590251,3,0,algordoncaregroup,577
1,US,"ust one scoop to boost blood flow, energy, and heart health. If you haven't tried it yet, I highly recommend it! #nitricoxcide #energy #snapsupplements #hearthealth #bloodflow #supplements #tiktokshop #wellnes #beets #cardio #organic #cardio #workout #men #booster #health ","['workout', 'energy', 'men', 'health', 'cardio', 'organic', 'beets', 'booster', 'supplements', 'bloodflow', 'wellnes', 'hearthealth', 'tiktokshop', 'snapsupplements', 'nitricoxcide']",7397922577475308846,9,3,sweetheart_ana,549
5,US,you saw that correctly... YOUR CHOLESTEROL CONTROLS YOUR HORMONES...and you letting these providers only check your TOTAL CHOLESTEROL...I thought they wanted to help #BHWCREW is here for you Book your appt: baltimorehealthcare.org  #hormones #lifestylemedicine #blackprimarycare #bloodwork #healthcare #heartdisease ,"['healthcare', 'hormones', 'bloodwork', 'heartdisease', 'lifestylemedicine', 'bhwcrew', 'blackprimarycare']",7397920542193503530,34,2,bhwcrew,810
2,US,"Hypertensive crisis: Part 20| headache, blurry vision, nosebleeds, chest pain, shortness of breath you need to seek emergency care, pronto. #healthy #educate #tips #learn  #hearthealth #learnontiktok #hearthealth #cardiology #LearnOnTikTok #heartdisease #clinic #medicine #doctor ","['healthy', 'doctor', 'medicine', 'learn', 'tips', 'educate', 'clinic', 'heartdisease', 'cardiology', 'hearthealth', 'learnontiktok']",7397918323196955935,25,3,oyiheartdoctor,563
0,US,"WHAT IS HEALTHY AND FREE???? I’ll give you a hint….. IT’S THE  OPPOSITE OF STRESS AND DISEASE??? Maybe you will be surprised and I hope it makes you laugh more!!!! ❤️What’s the connection between Laughter and your Heart? When we laugh it safely increases our heart rate and blood pressure to create an oxygen rich blood surge in the body that actually helps to lower blood pressure! 👹Laughter reduces stress hormones. By regulating the level of cortisol, the hormone the adrenals secrete with stressful situations that lead to that belly fat thats hard to let go of!   🫀Laughter helps with circulation It helps by regulating blood flow to essential organs, including the brain.   🌀Laughter will boost your immune system A strong immune system fortifies the body and empowers the spirit, paving the way for healthy well-being   😂Laughter is a natural relaxant When you laugh it relieves tension, and it helps to sustain a happier feeling longer When you laugh your body releases endorphins, the hormones that make you feel happy.  It is a wonderful way to counteract the emotions of negativity.  They don’t feel good and now you know that you have a healthier choice. Laughter helps to call in love and joy #holisticapothecaryambler_ #holistic #healing #laughter #emotions #thoughts #wholebodyhealth #naturopath #vibrationalmedicine #energymedicine #reiki #cardreading #spiritualguidance #Soul #soulguidance #mindbodyspirit #jinshinjyutsu #healingjourney #hearthealth #stress #immune #fy #fypage ","['soul', 'stress', 'emotions', 'thoughts', 'laughter', 'fy', 'healing', 'immune', 'reiki', 'holistic', 'hearthealth', 'mindbodyspirit', 'cardreading', 'fypage', 'energymedicine', 'naturopath', 'jinshinjyutsu', 'spiritualguidance', 'healingjourney', 'wholebodyhealth', 'vibrationalmedicine', 'holisticapothecaryambler_', 'soulguidance']",7397914964578618667,17,0,holisticapothecaryambler,815
